# Constructed from biom file
#OTU ID	Dairy204	Dairy205	Dairy206	Dairy207	Dairy208	Dairy209	Dairy210	Dairy211	Dairy212	Dairy213	Dairy214	Dairy215	Dairy216	Dairy217	Dairy218	Dairy219	Dairy220	Dairy221	Dairy222	Dairy223	Dairy224	Dairy225	Dairy226	Dairy227	Dairy228	Dairy229	Dairy231	Dairy232	Dairy233	Dairy234	Dairy235	Dairy236	Dairy237	Dairy238	Dairy239	Dairy240	Dairy241	Dairy242	Dairy243	Dairy244	Dairy245	Dairy246	Dairy247	Dairy248	Dairy249	Dairy250	Dairy251	Dairy252	Dairy253	Dairy254	Dairy255	Dairy256	Dairy257	Dairy258	Dairy259	Dairy260	Dairy285	Dairy286	Dairy287	Dairy288	Dairy289	Dairy290	Dairy291	Dairy292	Dairy293	Dairy294	Dairy295	Dairy296	Dairy298	Dairy299	Dairy300	Dairy302	Dairy303	Dairy304	Dairy305	Dairy306	Dairy307	Dairy308	Dairy309	Dairy310	Dairy311	Dairy312	Dairy313	Dairy314	Dairy315	Dairy261	Dairy262	Dairy263	Dairy264	Dairy265	Dairy266	Dairy268	Dairy269	Dairy270	Dairy271	Dairy272	Dairy273	Dairy274	Dairy275	Dairy276	Dairy277	Dairy278	Dairy279	Dairy280	Dairy281	Dairy282	Dairy283	Dairy284
ASV7449	58	79	56	971	515	2982	905	0	54	577	351	276	0	0	0	9	739	980	0	305	184	344	130	0	0	0	102	9	0	0	0	0	717	272	158	25	147	52	434	0	0	0	0	86	241	369	90	9	146	147	0	0	11	140	0	0	0	23	198	10	4	6	0	13	0	0	0	0	0	0	0	27	15	20	3	297	0	0	4	0	6	0	0	0	4	160	96	0	18	317	48	186	534	92	5	0	7	0	0	4	3	45	0	184	0	0	76	26
ASV308	0	10	0	1083	99	1016	240	0	0	18	223	0	0	0	0	0	496	245	0	0	0	38	0	13	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	167	0	22	90	0	0	0	0	0	29	14	0	0	459	0	468	16	405	27	520	0	212	99	12	0	93	0	6	110	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	17	0	8	0	0	0	0
ASV11665	8090	0	396	2092	472	374	0	0	0	1552	377	1408	67	13407	0	0	827	94	72	677	202	982	345	0	0	0	224	179	0	233	0	0	1155	413	38	59	239	545	774	93	0	324	0	170	564	413	481	192	359	411	147	9	0	0	0	0	270	3307	2147	2630	8819	6	12914	2553	0	0	0	0	0	0	148	0	940	3213	0	0	283	0	1083	0	2230	5562	0	0	1289	1108	136	0	106	742	50	609	1107	238	3954	107	8132	100	4933	10709	12434	21204	2640	174886	7922	8384	12	87
ASV3128	481	0	0	155	45	1272	23	0	0	479	193	0	26	0	0	0	180	0	0	413	109	328	171	2240	0	0	110	101	0	1497	0	0	607	259	64	4132	0	111	324	0	120	0	755	0	4215	3817	0	2646	538	190	79	72	196	1122	0	924	0	0	0	0	0	0	3492	0	0	0	0	0	0	0	0	0	0	0	9589	390	10377	0	0	3685	0	1192	0	0	10	0	64	510	480	415	219	1225	678	454	0	1779	20	0	0	0	0	0	0	0	0	0	0	0
ASV3981	0	0	0	780	491	384	303	183	285	1249	729	393	0	0	0	0	828	0	21	802	304	503	604	0	0	0	126	4583	0	170	99	1777	1090	829	703	118	549	1062	866	0	834	166	1211	2892	10595	913	372	6059	2621	603	17983	2047	3441	253	653	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	423	0	0	0	0	1371	0	0	0	0	0	0	0	0	955	243	177	7899	993	4531	392	1194	221	0	0	0	0	0	7469	3971	889	1257	0	0	0	0	0
ASV10586	0	0	59	2447	50	512	20	0	23	127	76	126	0	0	0	0	214	57	0	92	0	26	38	20	0	0	0	47	0	0	0	20	81	9	0	20	0	56	116	0	0	0	0	0	0	69	25	0	58	125	0	0	0	10	0	0	1380	1893	326	5807	56	718	232	195	70	1220	541	65	1263	4915	726	3654	532	1224	13097	43995	120	2138	1208	2296	81	1667	1146	1758	1580	0	24	0	0	32	0	0	106	13	31	5	112	51	0	92	4	437	11	683	815	27	1528	30
ASV8609	15	9413	0	0	68	720	2366	0	316	956	4371	426	6995	1861	0	0	134	100	7714	209	6520	123	54	0	0	0	1097	3633	1240	0	0	253	1216	33	62	64	0	75	116	0	0	109	0	0	113	90	42	26	1044	71	96	243	16	289	60	1781	0	0	0	0	6270	40863	0	0	580	84	3391	9129	813	441	0	0	0	10	0	0	108	0	0	0	2940	171	15	43	0	356	20	0	3639	172	58	0	251	474	16681	0	0	0	9788	0	0	0	0	0	0	0	0	0
ASV5465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	27	0	0	0	26	0	4	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	9	0	15	0	0	0	0	19	0	1071	0	26	17	0
ASV630	0	0	0	0	0	44	0	0	0	91	222	0	0	0	0	0	0	70	0	82	0	5040	99	0	0	0	2837	643	10740	0	0	0	332	112	4914	85	0	389	83	0	6888	18	14	9287	29	4322	59	4472	0	121	7051	5668	421	1502	4036	4571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	1274	1221	0	1823	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8571	0	0	5	13	48	22	0	0	0	14	0	0	0	0	0	0	19	9	81	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	14	66	0	20	24	0	0	7	0	2	0	8	0	9	0	167	41	259	6	5	8	0	3	0	0	0	10	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0	10	0	157	0	0	87	0
